main_category,success_rate
Dance,0.6211839660207061
Theater,0.5994867564842821
Comics,0.5418245678898235
Music,0.4841518215374739
Art,0.4103229014955064
Film & Video,0.3758127851703471
Games,0.3572178850248403
Design,0.3538451303885045
Publishing,0.31168174695445583
Photography,0.3074781963258489
Food,0.2480894308943089
Fashion,0.246405400666316
Crafts,0.2407764786014304
Journalism,0.2139251156920488
Technology,0.19949021896016952
